CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,06/18/2024 09:45:00 PM,24-030489,VEHICLE THEFT - AUTO,10Y,854 40TH ST,Oakland,CA,POINT (-122.272836977 37.83075401)
STOLEN VEHICLE,07/04/2024 07:00:00 PM,24-033458,SC STOLEN VEHICLE - AUTO,27Y,1932 57TH AV,Oakland,CA,POINT (-122.197151995 37.769047989)
,05/16/2024 11:05:00 AM,24-908114,GRAND THEFT,,KENNEDY ST,Oakland,CA,POINT (-122.237468765 37.776409807)
RECOVERED O/S STOLEN,06/12/2024 08:43:00 PM,24-029280,VEHICLE THEFT - AUTO,32Y,100TH AV & LONGFELLOW AV,Oakland,CA,POINT (-122.157767025 37.745430007)
ROBBERY,08/01/2024 02:00:00 PM,24-038859,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",18X,2000 21ST AV,Oakland,CA,POINT (-122.234671992 37.789429006)
,06/06/2024 11:20:00 AM,24-911312,BURGLARY-NO FORCE,12X,5055 TELEGRAPH AVE,Oakland,CA,POINT (-122.262635027 37.836899999)
MISDEMEANOR ASSAULT,07/04/2024 11:55:00 PM,24-033337,ASSAULT AND BATTERY,27Y,5484 WADEAN PL,Oakland,CA,POINT (-122.201137004 37.769249993)
,06/18/2024 06:45:00 AM,24-910196,GRAND THEFT,22X,3401 FRUITVALE AVE,Oakland,CA,POINT (-122.216764978 37.799466)
,06/16/2024 02:30:00 AM,24-034632,VEHICLE THEFT - AUTO,33X,85TH AV & BLAINE ST,Oakland,CA,POINT (-122.187136962 37.748219002)
,07/17/2024 05:56:00 PM,24-035733,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,32X,1526 98TH AVENUE,Oakland,CA,POINT (-122.169024971 37.744997296)
,07/11/2024 10:02:00 AM,24-034584,EXHIBIT FIREARM,08X,3035 BROADWAY,Oakland,CA,POINT (-122.261880055 37.819450874)
,07/23/2024 07:30:00 PM,24-036781,BURGLARY-FORCIBLE ENTRY,09X,4364 PIEDMONT AVE,Oakland,CA,POINT (-122.247709959 37.829605983)
,05/31/2024 12:00:00 PM,24-026976,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,25X,4844 MACARTHUR BLVD,Oakland,CA,POINT (-122.188278996 37.785225985)
,08/05/2024 01:43:00 AM,24-038875,SEXUAL BATT:UNCONS PERSON,19X,1801 EMBARCADERO,Oakland,CA,POINT (-122.244357932 37.784996792)
PETTY THEFT,07/24/2024 07:00:00 PM,24-038149,THEFT,10Y,5131 WEST ST,Oakland,CA,POINT (-122.269629977 37.836709017)
,05/29/2024 05:37:00 AM,24-026439,VANDALISM [UNDER $400],19X,701 KENNEDY ST,Oakland,CA,POINT (-122.237725717 37.77701395)
STOLEN VEHICLE,07/28/2024 05:11:00 PM,24-037931,VEHICLE THEFT - AUTO,34X,9729 OLIVE ST,Oakland,CA,POINT (-122.164489982 37.747687003)
,08/07/2024 10:00:00 PM,24-039482,PETTY THEFT:$50-,14X,441 MERRITT AVE,Oakland,CA,POINT (-122.249417017 37.805877988)
STOLEN VEHICLE,06/12/2024 07:00:00 PM,24-029274,VEHICLE THEFT - AUTO,08X,60 GARLAND AV,Oakland,CA,POINT (-122.258599979 37.817467981)
DOMESTIC VIOLENCE,06/09/2024 10:47:00 PM,24-028588,VANDALISM:DEFACE PROPERTY,21Y,FRUITVALE AV & HAROLD ST,Oakland,CA,POINT (-122.217208968 37.797956)
OTHER,05/16/2024 12:59:00 AM,24-024057,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,21X,2300 FOOTHILL BLVD,Oakland,CA,POINT (-122.233789965 37.785246981)
RECOVERED O/S STOLEN,05/28/2024 02:57:00 AM,24-026205,VEHICLE THEFT - AUTO,19X,2200 E 12TH ST,Oakland,CA,POINT (-122.238123995 37.783816987)
,06/17/2024 10:28:00 PM,24-030308,VEHICLE THEFT - AUTO,22Y,3624 MAPLE AVE.,Oakland,CA,POINT (-122.204346015 37.797649013)
STOLEN VEHICLE,08/05/2024 07:30:00 PM,24-039027,VEHICLE THEFT - AUTO,23X,1845 40TH AV,Oakland,CA,POINT (-122.215872976 37.777629005)
,07/15/2024 02:45:00 PM,24-035384,VEHICLE THEFT - AUTO,32X,10200 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.168218859 37.741440832)
,07/30/2024 12:00:00 PM,24-038042,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17X,2201 11TH AVE,Oakland,CA,POINT (-122.241470973 37.796845021)
FELONY ASSAULT,06/13/2024 01:47:00 AM,24-029308,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,14X,281 MACARTHUR BLVD,Oakland,CA,POINT (-122.252212969 37.814716998)
,05/23/2024 09:06:00 AM,24-025418,CARRY CONCEALED WEAPON IN VEHICLE,21X,2323 E 22ND ST,Oakland,CA,POINT (-122.230612972 37.78885099)
,07/04/2024 07:46:00 AM,24-033217,MAL SET/ETC FIRE PROP/ETC,29X,2915 61ST AV,Oakland,CA,POINT (-122.186016972 37.772888997)
,05/25/2024 12:08:00 AM,24-909668,BURGLARY-AUTO,13Z,6221 ASCOT DRIVE,Oakland,CA,POINT (-122.195191971 37.822052002)
,08/06/2024 08:00:00 PM,24-039298,VEHICLE THEFT - AUTO,24X,4211 SANTA RITA ST,Oakland,CA,POINT (-122.207326033 37.779961982)
,06/12/2024 06:15:00 PM,24-029259,CARRY CONCEALED WEAPON IN VEHICLE,18X,19TH AV&E 21 ST ST,Oakland,CA,POINT (-122.236229015 37.791464006)
FELONY ASSAULT,05/19/2024 01:45:00 PM,24-024733,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,10Y,4418 WEST ST,Oakland,CA,POINT (-122.26987498 37.833675983)
STOLEN AND RECOVERED VEHICLE,06/06/2024 10:00:00 PM,24-029088,VEHICLE THEFT - AUTO,17Y,1234 E 24TH ST,Oakland,CA,POINT (-122.237977983 37.796772014)
STOLEN VEHICLE,06/18/2024 05:35:00 AM,24-030339,VEHICLE THEFT - AUTO,08X,3400 ELM ST,Oakland,CA,POINT (-122.265134801 37.822245991)
ROBBERY,06/05/2024 04:45:00 PM,24-027868,ROBBERY-FIREARM,12X,4514 TELEGRAPH AV,Oakland,CA,POINT (-122.262954964 37.833523014)
PETTY THEFT,07/16/2024 04:00:00 PM,24-035743,THEFT,35X,9030 THERMAL ST,Oakland,CA,POINT (-122.159840959 37.755290981)
,06/21/2024 05:46:00 PM,24-030890,VEHICLE THEFT - AUTO,17Y,2332 12TH AV,Oakland,CA,POINT (-122.238894041 37.796843009)
,07/17/2024 02:30:00 AM,24-035623,ATTEMPTED BURGLARY:SECOND DEGREE,09X,3810 BROADWAY,Oakland,CA,POINT (-122.257240015 37.826024982)
,07/21/2024 04:56:00 PM,24-036330,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,20X,2301 FOOTHILL BLVD,Oakland,CA,POINT (-122.234048965 37.785002984)
,07/11/2024 10:23:00 PM,24-034683,VEHICLE THEFT - AUTO,18Y,1626 E 22ND ST,Oakland,CA,POINT (-122.238040009 37.794032012)
,05/25/2024 05:45:00 AM,24-908830,VANDALISM,34X,1400 87TH AVE,Oakland,CA,POINT (-122.175656466 37.751687637)
,07/09/2024 09:52:00 AM,24-034171,VEHICLE THEFT - AUTO,30X,67TH &AVENAL AV,Oakland,CA,POINT (-122.186776959 37.76523502)
,08/04/2024 03:45:00 PM,24-038810,VANDALISM,31X,7000 COLISEUM WAY,Oakland,CA,POINT (-122.201306989 37.751257987)
MISDEMEANOR ASSAULT,07/31/2024 11:45:00 PM,24-038254,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30Y,2690 74TH AV,Oakland,CA,POINT (-122.172994009 37.767348014)
,07/04/2024 09:51:00 PM,24-033316,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,20X,1290 26TH AV,Oakland,CA,POINT (-122.232671986 37.78111399)
RECOVERED O/S STOLEN,06/10/2024 08:30:00 PM,24-029126,VEHICLE THEFT - AUTO,24X,2222 HARRINGTON AV,Oakland,CA,POINT (-122.212579978 37.784252007)
,06/06/2024 01:15:00 PM,24-909657,BURGLARY-AUTO,,1501 38TH AVE,Oakland,CA,POINT (-122.219471998 37.775876013)
RECOVERED O/S STOLEN,07/14/2024 09:58:00 AM,24-035064,VEHICLE THEFT - AUTO,26Y,980 71ST AV,Oakland,CA,POINT (-122.193750032 37.75644299)
,06/08/2024 04:15:00 PM,24-910454,ATTEMPT VEHICLE THEFT-AUTO,,GENOA/56TH ST,Oakland,CA,POINT (-122.265731857 37.841115721)
STOLEN VEHICLE,06/05/2024 03:00:00 PM,24-027896,VEHICLE THEFT - AUTO,29X,4006 EDWARDS AV,Oakland,CA,POINT (-122.165519028 37.77477702)
MISDEMEANOR ASSAULT,05/31/2024 09:49:00 PM,24-027070,FORCE/ADW-KNIFE:GBI,21Y,3246 E 27TH ST,Oakland,CA,POINT (-122.217232018 37.789466012)
,05/17/2024 10:28:00 AM,24-024375,VANDALISM:DAMAGE PROPERTY,27Y,5826 AVENAL AV,Oakland,CA,POINT (-122.192382022 37.770645999)
,05/22/2024 02:30:00 PM,24-025302,VEHICLE THEFT - AUTO,26X,733 KEVIN,Oakland,CA,POINT (-122.206984974 37.758754006)
NARCOTICS,07/24/2024 09:45:00 AM,24-036815,POSSESS/PURCHASE FOR SALE NARCOTIC/CONTROLLED SUBSTANCE,07X,1 BAY BRIDGE,Oakland,CA,POINT (-122.329362996 37.82149208)
,06/21/2024 02:55:00 PM,24-030864,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,31X,449 HEGENBERGER RD,Oakland,CA,POINT (-122.197507975 37.736640995)
FORCIBLE RAPE,06/06/2024 11:00:00 PM,24-028327,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,31Z,581 105TH AV,Oakland,CA,POINT (-122.178988998 37.733011003)
,06/30/2024 07:00:00 AM,24-032682,THEFT,09X,15 WHITMORE PL,Oakland,CA,POINT (-122.25274698 37.83265402)
,07/26/2024 12:01:00 PM,24-037239,VEHICLE THEFT - AUTO,16Y,3718 RANDOLPH AV,Oakland,CA,POINT (-122.224199978 37.802463997)
,08/02/2024 11:00:00 AM,24-038507,BURGLARY-AUTO,31X,9255 EDES AVE,Oakland,CA,POINT (-122.189989994 37.736753019)
RECOVERED O/S STOLEN,05/20/2024 12:40:00 PM,24-024888,VEHICLE THEFT - AUTO,26X,5051 COLISEUM WY,Oakland,CA,POINT (-122.213906598 37.763623994)
,05/19/2024 05:30:00 PM,24-024759,BATTERY,05X,1309 PULLMAN WY,Oakland,CA,POINT (-122.300431962 37.813592985)
DOMESTIC VIOLENCE,07/24/2024 09:53:00 PM,24-036929,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,03X,184 13TH ST,Oakland,CA,POINT (-122.265196034 37.801424012)
PETTY THEFT,07/03/2024 08:00:00 AM,24-033401,PETTY THEFT:$50-,14Y,3756 GRAND AV,Oakland,CA,POINT (-122.245213526 37.816981293)
,07/03/2024 04:51:00 PM,24-033121,RAPE BY FORCE/FEAR/ETC,10Y,MARTIN LUTHER KING JR WAY AND 47TH ST,Oakland,CA,POINT (-122.267181036 37.835005018)
STOLEN VEHICLE,07/16/2024 03:00:00 PM,24-035775,VEHICLE THEFT - AUTO,35X,9401 MACARTHUR BLVD,Oakland,CA,POINT (-122.160502962 37.75267302)
RECOVERED O/S STOLEN,06/09/2024 09:23:00 AM,24-028474,GET CREDIT/ETC OTHER'S ID,26X,500 INDEPENDENT RD,Oakland,CA,POINT (-122.208119967 37.755434982)
RECOVERED O/S STOLEN,05/24/2024 08:41:00 AM,24-025584,VEHICLE THEFT - AUTO,31X,8000 COLLINS DR,Oakland,CA,POINT (-122.198251185 37.745802725)
,06/18/2024 06:40:00 PM,24-030378,DISORDERLY CONDUCT:PROSTITUTION,19X,1000 BLK OF E-15TH ST,Oakland,CA,POINT (-122.248244102 37.792353911)
,05/17/2024 12:47:00 PM,24-024419,VIOLATION OF PROBATION-FELONY,23X,FRUITVALE AV&INTERNATIONAL BLVD,Oakland,CA,POINT (-122.225873592 37.777551011)
STOLEN VEHICLE,06/30/2024 01:00:00 AM,24-032547,VEHICLE THEFT - AUTO,14X,16 VERNON ST,Oakland,CA,POINT (-122.260234031 37.812189016)
,06/19/2024 08:00:00 AM,24-908966,BURGLARY-AUTO,31X,7101 EDGEWATER DRIVE,Oakland,CA,POINT (-122.207514343 37.746586486)
ROBBERY,07/02/2024 02:30:00 AM,24-032824,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1020 7TH AV,Oakland,CA,POINT (-122.254446997 37.792422016)
DOMESTIC VIOLENCE,08/09/2024 04:05:00 PM,24-039779,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,26X,1259 52ND AV,Oakland,CA,POINT (-122.208323983 37.767638991)
,06/16/2024 09:35:00 PM,24-910790,BURGLARY-AUTO,21Y,3142 FRUITVALE AVE,Oakland,CA,POINT (-122.217135961 37.796497004)
PETTY THEFT,05/29/2024 04:40:00 PM,24-909550,THEFT,03X,100 9TH ST,Oakland,CA,POINT (-122.265265017 37.79798299)
ROBBERY,05/31/2024 06:30:00 AM,24-026920,ASSAULT WITH FIREARM ON PERSON,19X,1400 8TH AV,Oakland,CA,POINT (-122.251207352 37.793567809)
STOLEN VEHICLE,07/03/2024 12:00:00 AM,24-033475,VEHICLE THEFT - AUTO,26Y,1066 80TH AV,Oakland,CA,POINT (-122.185217003 37.754185995)
,07/12/2024 03:00:00 PM,24-034968,BURGLARY-AUTO,26Y,1152 70TH AV,Oakland,CA,POINT (-122.191334033 37.758912005)
ROBBERY,06/12/2024 04:41:00 PM,24-029249,ROBBERY-FIREARM,19X,2044 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.239188024 37.785409283)
,06/16/2024 05:15:00 PM,24-909921,GRAND THEFT,14X,400 PERKINS ST,Oakland,CA,POINT (-122.255148982 37.81039399)
,05/25/2024 10:00:00 AM,24-026606,VEHICLE THEFT - AUTO,26Y,805 71ST AV,Oakland,CA,POINT (-122.196973042 37.7551)
,06/14/2024 03:27:00 AM,24-029782,BURGLARY-FORCIBLE ENTRY,28X,5000 MACARTHUR BLVD,Oakland,CA,POINT (-122.187831113 37.782626057)
WEAPONS,08/01/2024 09:11:00 AM,24-038285,CARRY CONCEALED WEAPON IN VEHICLE,02Y,932 CAMPBELL VILLAGE CT,Oakland,CA,POINT (-122.298314023 37.809057998)
STOLEN VEHICLE,07/29/2024 11:15:00 PM,24-038015,VEHICLE THEFT - AUTO,14X,274 EUCLID AV,Oakland,CA,POINT (-122.25288503 37.814878015)
,08/02/2024 09:26:00 AM,24-038461,ANNOYING/ETC CALLS TO 911,10Y,979 45TH ST,Oakland,CA,POINT (-122.275188017 37.834589988)
,05/26/2024 10:55:00 AM,24-909705,THEFT BY USE OF ACCESS CARD,,13 ST ST,Oakland,CA,POINT (-122.26684495 37.80176027)
,07/10/2024 03:30:00 PM,24-034646,THEFT,05X,2028 LINDEN ST,Oakland,CA,POINT (-122.282060004 37.813695999)
,05/20/2024 01:00:00 AM,24-908222,VANDALISM,14X,359 MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.251353991 37.812780988)
,07/17/2024 06:00:00 AM,24-034373,ILLEGALLY POSSESS ANY ASSUALT WEAPON,29X,6400 MACARTHUR BLVD #8,Oakland,CA,POINT (-122.17934196 37.774053997)
,07/06/2024 06:34:00 AM,24-033555,BURGLARY-FORCIBLE ENTRY,17X,1818 PARK BLVD,Oakland,CA,POINT (-122.250113973 37.798779983)
,07/03/2024 09:35:00 AM,24-033052,MAINTAIN PUBLIC NUISANCE,23X,3820 SAN LEANDRO ST,Oakland,CA,POINT (-122.220770019 37.772553008)
,06/21/2024 08:00:00 AM,24-909358,BURGLARY-AUTO,04X,1434 JACKSON ST,Oakland,CA,POINT (-122.264611983 37.802537003)
RECOVERED O/S STOLEN,06/20/2024 12:20:00 PM,24-030643,VEHICLE THEFT - AUTO,24Y,2900 VIOLA ST,Oakland,CA,POINT (-122.20514699 37.787206)
PETTY THEFT,05/17/2024 03:36:00 AM,24-024329,THEFT,26X,4525 SAN LEANDRO ST,Oakland,CA,POINT (-122.215740961 37.768458993)
,08/05/2024 03:00:00 PM,24-038970,VEHICLE THEFT - AUTO,27Y,1429 57TH AV,Oakland,CA,POINT (-122.201066009 37.766788019)
,07/29/2024 12:46:00 AM,24-037777,PROHIBITED POSSESS AMMUNITION OR RELOADED AMMUNITION,35X,2611 ALVINGROOM CT,Oakland,CA,POINT (-122.163262116 37.761212019)
STOLEN VEHICLE,07/30/2024 08:00:00 PM,24-038202,VEHICLE THEFT - AUTO,07X,28TH ST & ADELINE ST,Oakland,CA,POINT (-122.282253039 37.820273991)
,06/26/2024 08:20:00 AM,24-031839,SC UNEXPLAINED DEATH,1L74,7300 GREENLY DR,Oakland,CA,POINT (-122.165666969 37.773625011)
MISDEMEANOR ASSAULT,05/18/2024 12:33:00 PM,24-024570,BATTERY,20X,2600 E 12TH ST,Oakland,CA,POINT (-122.232728951 37.780088274)
,05/27/2024 10:20:00 AM,24-026094,MFG/SALE/POSSESS/ETC METAL KNUCKLES,29X,IRO 3335 68TH AVE,Oakland,CA,POINT (-122.176050662 37.771560967)
FELONY ASSAULT,07/24/2024 08:52:00 PM,24-036913,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,05Y,W GRAND AV & WOOD ST,Oakland,CA,POINT (-122.29332897 37.818939005)
,06/07/2024 01:35:00 AM,24-028124,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,3511 E12TH ST,Oakland,CA,POINT (-122.223026165 37.775485443)
ROBBERY,06/20/2024 09:40:00 PM,24-030732,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27Y,1935 SEMINARY AV,Oakland,CA,POINT (-122.19628296 37.767958007)
OTHER,05/15/2024 04:05:00 PM,24-024003,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,23X,1415 35TH AV,Oakland,CA,POINT (-122.222641343 37.776723679)
,06/07/2024 12:31:00 PM,24-028191,POSS STOLEN VEH/VES/ETC,07X,2700 BLOCK OF WOOD ST,Oakland,CA,POINT (-122.290596463 37.822367647)
,06/17/2024 10:39:00 AM,24-030088,BATTERY,26X,630 HIGH ST,Oakland,CA,POINT (-122.220575978 37.767490003)
,07/23/2024 10:09:00 AM,24-036610,INDECENT EXPOSURE,03X,1221 BROADWAY,Oakland,CA,POINT (-122.272350994 37.803505993)
PETTY THEFT,07/17/2024 03:00:00 PM,24-036162,THEFT,25X,4322 MASTERSON ST,Oakland,CA,POINT (-122.193425988 37.78751898)
BURG - COMMERCIAL,07/01/2024 08:08:00 PM,24-032794,VEHICLE THEFT - AUTO,02X,900 MARKET ST,Oakland,CA,POINT (-122.28141904 37.80340298)
STOLEN VEHICLE,06/22/2024 12:14:00 PM,24-031322,VEHICLE THEFT - AUTO,26Y,1165 58TH AV,Oakland,CA,POINT (-122.203917029 37.763201989)
,08/04/2024 05:00:00 AM,24-039693,PETTY THEFT:$50-,19X,1024 E 12TH ST,Oakland,CA,POINT (-122.250407412 37.791273872)
,07/20/2024 08:25:00 PM,24-036195,VEHICLE THEFT - AUTO,31Y,464 JONES AV,Oakland,CA,POINT (-122.188389973 37.73588302)
,05/23/2024 07:00:00 PM,24-909346,ATTEMPT VEHICLE THEFT-AUTO,12Y,5339 LAWTON AVE,Oakland,CA,POINT (-122.254054976 37.839902019)
MISDEMEANOR ASSAULT,05/31/2024 07:00:00 PM,24-027046,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,20X,2364 E 15TH ST,Oakland,CA,POINT (-122.233749983 37.783744986)
WEAPONS,08/05/2024 04:15:00 AM,24-038883,CARRY LOADED HANDGUN: NOT REG OWNER,14X,400 LEE ST,Oakland,CA,POINT (-122.256316216 37.810821374)
STOLEN VEHICLE,07/03/2024 07:00:00 PM,24-033936,VEHICLE THEFT - AUTO,26X,817 52ND AV,Oakland,CA,POINT (-122.211370972 37.765201995)
NARCOTICS,07/24/2024 04:34:00 PM,24-036886,FELON/ADDICT/POSSESS/OWN/ETC FIREARM,29X,5849 KINGSLEY CIR,Oakland,CA,POINT (-122.190234997 37.772181019)
BURG - RESIDENTIAL,07/30/2024 02:40:00 PM,24-038066,RECEIVE/ETC KNOWN STOLEN PROPERTY,25X,4021 HUNTINGTON ST,Oakland,CA,POINT (-122.186903023 37.790709007)
,06/19/2024 01:30:00 PM,24-030513,VEHICLE THEFT - AUTO,33X,952 88TH AV,Oakland,CA,POINT (-122.182779965 37.747525986)
CURFEW & LOITERING,05/20/2024 07:00:00 PM,24-024969,TRESPASS:OCCUPY PROPERTY W/O CONSENT,07X,1532 32ND ST,Oakland,CA,POINT (-122.286427981 37.823745021)
VANDALISM,06/24/2024 04:24:00 AM,24-031287,VANDALISM-$400+,32Y,2131 DURANT AV,Oakland,CA,POINT (-122.156322991 37.738944007)
,07/23/2024 01:15:00 AM,24-911479,THEFT,10Y,862 53RD ST,Oakland,CA,POINT (-122.272029967 37.837874981)
,07/26/2024 05:30:00 PM,24-037263,VEHICLE THEFT - AUTO,17Y,IFO 2869 VALLECITO PL,Oakland,CA,POINT (-122.233560971 37.799446009)
DOMESTIC VIOLENCE,07/25/2024 05:00:00 AM,24-036968,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,27X,1942 47TH AV,Oakland,CA,POINT (-122.207922992 37.773830997)
,06/05/2024 04:18:00 PM,24-027854,BATTERY,27Y,1441 SEMINARY AV,Oakland,CA,POINT (-122.198932982 37.765968017)
,07/30/2024 07:00:00 PM,24-911732,VANDALISM,12X,4425 TELEGRAPH AVE,Oakland,CA,POINT (-122.26383498 37.832735995)
,07/14/2024 08:00:00 PM,24-035524,THEFT PERSONAL PROPERTY/PETTY THEFT,32X,1004 104TH AVE,Oakland,CA,POINT (-122.172783037 37.737020989)
FELONY ASSAULT,08/04/2024 01:58:00 AM,24-038720,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,35X,FONTAINE ST & CREST AV,Oakland,CA,POINT (-122.152128016 37.761059994)
THREATS,06/05/2024 07:11:00 PM,24-027920,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,29X,3930 EDWARDS AV,Oakland,CA,POINT (-122.167098011 37.774165979)
,06/05/2024 08:30:00 AM,24-909788,VANDALISM,08X,555 40TH ST,Oakland,CA,POINT (-122.265756759 37.829239255)
,06/13/2024 05:05:00 PM,24-029466,VEHICLE THEFT - OTHER VEHICLES,30Y,2800 RITCHIE ST,Oakland,CA,POINT (-122.166504376 37.764612354)
,07/06/2024 07:45:00 PM,24-909768,BURGLARY-AUTO,09X,4256 PIEDMONT AVE,Oakland,CA,POINT (-122.249878528 37.828240963)
,08/09/2024 09:00:00 PM,24-039991,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,30X,7701 KRAUSE AVE,Oakland,CA,POINT (-122.176167985 37.761816)
,06/25/2024 07:08:00 AM,24-031630,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,23X,1630 35TH AV,Oakland,CA,POINT (-122.220538008 37.779433)
RECOVERED O/S STOLEN,06/01/2024 08:12:00 AM,24-027113,VEHICLE THEFT - AUTO,30Y,77TH AV & HILLSIDE ST,Oakland,CA,POINT (-122.17104396 37.765937004)
,05/19/2024 12:00:00 AM,24-909293,BURGLARY-NO FORCE,21X,2825 GARDEN ST,Oakland,CA,POINT (-122.222107017 37.794618997)
,06/11/2024 05:13:00 AM,24-028946,BURGLARY-FORCIBLE ENTRY,08X,2447 TELEGRAPH AV,Oakland,CA,POINT (-122.268749039 37.814263998)
,07/15/2024 09:39:00 AM,24-035215,VEHICLE THEFT - AUTO,33X,97TH AV & INTERNATIONAL BLVD,Oakland,CA,POINT (-122.171089976 37.74503698)
STOLEN VEHICLE,07/29/2024 07:00:00 PM,24-037979,VEHICLE THEFT - AUTO,21Y,3360 SUTER ST,Oakland,CA,POINT (-122.206076962 37.792748994)
,07/13/2024 06:00:00 AM,24-034962,VEHICLE THEFT - AUTO,08X,80 GRAND AV,Oakland,CA,POINT (-122.265663904 37.811501062)
,06/06/2024 12:44:00 PM,24-028043,TRESPASS:OCCUPY PROPERTY W/O CONSENT,31Y,170 HEGENBERGER LOOP (FIVE KEYS),Oakland,CA,POINT (-122.194834986 37.735818018)
,07/07/2024 01:14:00 PM,24-911625,MAIL/ETC THEFT/ETC,25X,3734 HARBOR VIEW AVE,Oakland,CA,POINT (-122.192228968 37.795842)
,08/05/2024 07:40:00 PM,24-911670,BURGLARY-AUTO,02Y,1582 5TH ST,Oakland,CA,POINT (-122.298237999 37.804971988)
,07/28/2024 05:56:00 PM,24-037728,BURGLARY-AUTO,31Y,610 HEGENBERGER RD,Oakland,CA,POINT (-122.194940011 37.746223983)
,07/25/2024 05:08:00 PM,24-037091,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",20X,2932 E. 19TH ST,Oakland,CA,POINT (-122.224444981 37.783484979)
RECOVERED O/S STOLEN,06/08/2024 02:51:00 PM,24-029134,VEHICLE THEFT - AUTO,32X,1022 103RD AV,Oakland,CA,POINT (-122.172942041 37.737742)
,07/27/2024 01:35:00 PM,24-037572,BATTERY,12X,4800 TELEGRAPH AV,Oakland,CA,POINT (-122.262609965 37.834870991)
,05/22/2024 05:55:00 PM,24-025343,VEHICLE THEFT - AUTO,14Y,3200 GRAND AVE,Oakland,CA,POINT (-122.247379041 37.811581999)
CURFEW & LOITERING,08/02/2024 02:33:00 PM,24-038499,TRESPASS:OCCUPY PROPERTY W/O CONSENT,19X,621 E 15TH ST,Oakland,CA,POINT (-122.25200099 37.795195001)
STOLEN VEHICLE,07/08/2024 06:00:00 PM,24-034371,VEHICLE THEFT - AUTO,05Y,MARITIME ST & BURMA RD,Oakland,CA,POINT (-122.30227749 37.821075804)
PETTY THEFT,05/21/2024 07:00:00 AM,24-025312,THEFT,31X,1 HEGENBERGER RD,Oakland,CA,POINT (-122.203981989 37.729032993)
,06/07/2024 12:10:00 PM,24-028185,BATTERY,33X,1239 84TH AV,Oakland,CA,POINT (-122.180409982 37.753041991)
STOLEN VEHICLE,05/21/2024 12:00:00 AM,24-026429,VEHICLE THEFT - AUTO,23X,1728 37TH AV,Oakland,CA,POINT (-122.218605979 37.777769988)
,07/18/2024 10:00:00 PM,24-036502,VEHICLE THEFT - AUTO,30X,1820 70TH AVE.,Oakland,CA,POINT (-122.184802015 37.763217999)
,06/04/2024 07:32:00 PM,24-027711,BATTERY,35X,9437 PEACH ST,Oakland,CA,POINT (-122.162873029 37.750969021)
BURG - AUTO,07/29/2024 08:55:00 AM,24-911049,BURGLARY-AUTO,31X,451 HEGENBERGER RD,Oakland,CA,POINT (-122.197289039 37.737543014)
DOMESTIC VIOLENCE,08/11/2024 12:17:00 AM,24-040024,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,22X,3604 RHODA AV,Oakland,CA,POINT (-122.20863998 37.799563984)
,06/09/2024 11:32:00 PM,24-028417,UNLICENSED DRIVER,32Y,98T H AV&MACARTHUR BLVD,Oakland,CA,POINT (-122.158885003 37.749921995)
ROBBERY,07/06/2024 05:22:00 PM,24-033764,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",09X,4330 PIEDMONT AV,Oakland,CA,POINT (-122.248299153 37.829442548)
STOLEN VEHICLE,06/19/2024 09:30:00 PM,24-030670,VEHICLE THEFT - AUTO,14Y,3537 LAKESHORE AV,Oakland,CA,POINT (-122.242118978 37.812420986)
