CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
PETTY THEFT,07/24/2024 08:00:00 AM,24-036937,THEFT,14Y,482 JEAN ST,Oakland,CA,POINT (-122.249763022 37.815037983)
DISORDERLY CONDUCT,06/10/2024 11:56:00 AM,24-028830,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,08X,2330 WEBSTER ST,Oakland,CA,POINT (-122.264546017 37.812427021)
,07/29/2024 12:03:00 AM,24-037774,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,2021 85TH AVE,Oakland,CA,POINT (-122.170189005 37.75723399)
,05/26/2024 10:00:00 PM,24-026023,VEHICLE THEFT - AUTO,03Y,455 7TH ST,Oakland,CA,POINT (-122.275068994 37.799400998)
,05/29/2024 07:00:00 PM,24-026708,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,35Y,8041 EARL ST,Oakland,CA,POINT (-122.155882019 37.769176987)
,06/28/2024 05:28:00 AM,24-032847,BURGLARY-FORCIBLE ENTRY,23X,3625 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.221305958 37.77507902)
,07/02/2024 05:00:00 PM,24-033093,VANDALISM,08X,2350 WEBSTER ST,Oakland,CA,POINT (-122.264684989 37.81309598)
ROBBERY,05/24/2024 09:22:00 AM,24-025588,ROBBERY-FIREARM,15X,401 MERRITT AV,Oakland,CA,POINT (-122.249893026 37.805165987)
,05/16/2024 05:05:00 AM,24-908098,ATTEMPT VEHICLE THEFT-AUTO,05X,1177 16TH ST,Oakland,CA,POINT (-122.28642203 37.811022004)
STOLEN VEHICLE,06/08/2024 04:30:00 PM,24-028408,VEHICLE THEFT - AUTO,11X,5414 DOVER ST,Oakland,CA,POINT (-122.267036162 37.839577868)
STOLEN VEHICLE,07/16/2024 06:00:00 PM,24-035738,VEHICLE THEFT - AUTO,21Y,3021 FRUITVALE AV,Oakland,CA,POINT (-122.218610003 37.794965002)
,05/19/2024 12:00:00 AM,24-908149,ATTEMPT VEHICLE THEFT-AUTO,04X,447 17TH ST,Oakland,CA,POINT (-122.269542801 37.806520107)
,08/04/2024 05:17:00 PM,24-038834,CARRY CONCEALED WEAPON ON PERSON,26X,1000 BLK OF 73RD AVE,Oakland,CA,POINT (-122.191642694 37.756387338)
,06/07/2024 02:30:00 AM,24-028125,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,29X,3527 68TH AV,Oakland,CA,POINT (-122.17459797 37.773468018)
,07/07/2024 01:27:00 AM,24-033814,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30X,7220 FRESNO ST,Oakland,CA,POINT (-122.179672039 37.764849997)
FELONY ASSAULT,06/17/2024 09:06:00 PM,24-030199,SHOOT AT INHABITED DWELLING/VEHICLE/ETC,02Y,7TH ST & WILLOW ST,Oakland,CA,POINT (-122.300830019 37.806666013)
,06/28/2024 02:45:00 PM,24-909892,THEFT,31X,449 HEGENBERGER ROAD,Oakland,CA,POINT (-122.197507975 37.736640995)
FELONY ASSAULT,06/20/2024 10:04:00 PM,24-030730,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,35X,8900 DOWLING ST,Oakland,CA,POINT (-122.164587966 37.754974984)
